Video_Title,Duration,Views,Likes,Comments,Published_Date
ISMO | 1 of 4 Things,00:01:38,190221,2491,133,2024-02-23
ISMO | Thigh Gap,00:01:05,173363,2652,119,2024-02-21
ISMO | Acronyms,00:01:36,81215,1811,111,2024-02-20
ISMO | Locker Room Talk,00:00:22,208223,5003,77,2024-02-16
ISMO | Nature Calls,00:00:58,72587,2065,46,2024-02-14
ISMO | Starving in Africa,00:01:16,177836,2663,86,2024-02-12
ISMO | A Solution to Our Problems,00:01:00,340103,10520,121,2024-02-09
ISMO | Meeting Dad,00:01:32,202572,3700,107,2024-02-07
ISMO | Angry,00:00:33,282019,10584,126,2024-02-03
ISMO | Silent Letters,00:01:02,78811,1201,47,2024-02-02
ISMO | Husband of the Year,00:00:40,411916,13662,125,2024-01-29
ISMO | Favorite Words,00:00:48,246343,8925,75,2024-01-26
ISMO | Forgotten Family,00:00:37,439102,15074,149,2024-01-24
ISMO | I Have a Problem,00:00:29,451560,16344,152,2024-01-22
ISMO | Never in My Life,00:00:27,115383,2872,28,2024-01-19
ISMO | Some Ads are Good,00:01:22,133757,2430,51,2024-01-17
ISMO | Different in Finland,00:00:38,532088,18224,216,2024-01-12
ISMO | Still Loading,00:00:40,341789,11395,149,2024-01-10
ISMO | What's Wrong with Water?,00:00:29,256411,7328,93,2024-01-08
ISMO | Language is Weird,00:00:32,457252,13457,115,2024-01-04
ISMO | Fish Out of Water,00:01:11,196349,3605,91,2024-01-02
ISMO | True Killer,00:00:52,346558,13610,135,2023-12-29
ISMO | On A Leash,00:00:56,412671,14239,157,2023-12-28
ISMO | One Word I Can't Say,00:00:39,544538,12993,245,2023-12-26
ISMO | Dolphins,00:01:10,77185,2114,42,2023-12-22
ISMO | I'm Still Learning,00:00:14,316275,7989,51,2023-12-20
ISMO | Splash Zone Comedy,00:01:01,82932,1398,54,2023-12-13
ISMO | Brothers,00:00:43,765414,24480,293,2023-12-11
ISMO | Not Norway,00:00:46,562630,15103,226,2023-12-08
ISMO | The Law is the Law,00:00:52,1748742,38968,339,2023-12-04
ISMO | Clinically Proven,00:01:03,167574,3273,45,2023-11-29
ISMO | His and Hers,00:01:06,142688,2608,95,2023-11-25
ISMO | Active Military,00:01:28,153212,3478,108,2023-11-22
ISMO | Life Lessons,00:01:18,118990,3029,92,2023-11-21
ISMO | I Saw The Sign,00:00:57,423506,13032,126,2023-11-17
ISMO | Just a Regular American Guy,00:01:04,276446,5644,150,2023-11-14
ISMO | Pounds vs Pounds #uk #comedy,00:01:23,165446,4039,115,2023-11-09
ISMO | Water Priviledge,00:00:59,1582527,30277,278,2023-11-07
ISMO | Compliments,00:02:05,187605,3506,117,2023-11-03
ISMO | A Land of Mystery,00:00:57,2850635,80706,2136,2023-11-01
ISMO | Whale,00:01:34,138955,3118,50,2023-10-23
ISMO | Military Time,00:01:15,234741,4147,160,2023-10-18
ISMO | Sweden vs. Finland,00:01:06,274895,3272,302,2023-10-16
ISMO | Dating is Different,00:00:46,700281,21536,324,2023-10-13
ISMO | Uh Oh,00:00:58,1166820,42194,270,2023-10-11
ISMO | Birth Controlling,00:00:39,586766,22857,261,2023-10-09
ISMO | Hungry Humanitarian,00:01:01,137573,2992,69,2023-10-04
ISMO | S*x Before Marriage,00:01:02,106107,2230,79,2023-09-29
ISMO | Deep Ish,00:00:48,487154,15068,166,2023-09-27
ISMO | The Perfect Medicine,00:00:32,458166,19810,103,2023-09-25
ISMO | S*x Sound,00:01:21,167019,2521,62,2023-09-22
ISMO | It Has to be Funny,00:00:45,157046,3548,74,2023-09-20
ISMO | Coffee Talk,00:00:46,523409,16354,381,2023-09-18
ISMO | Pick a Side,00:00:31,456353,18879,275,2023-09-18
ISMO | Not Fair,00:00:16,480907,13253,120,2023-09-13
ISMO | Silently Stupid,00:00:52,836518,28321,280,2023-09-11
ISMO | Boarding Rules,00:00:23,545605,11558,147,2023-09-08
ISMO | Excited Mail,00:00:54,1061699,32445,272,2023-09-06
ISMO | Tipping,00:00:24,527800,19907,543,2023-09-04
ISMO | I ☠️ a Man,00:00:57,2135250,66020,623,2023-09-01
ISMO | Airplane Anxiety,00:00:51,683548,18964,205,2023-08-30
ISMO | Kilo vs Mile,00:01:01,175598,3149,266,2023-08-29
ISMO | Man on The Moon,00:01:03,126285,3480,105,2023-08-25
ISMO | Acronym Abuse,00:01:29,203543,3447,227,2023-08-23
ISMO | Moist,00:00:43,233642,6325,66,2023-08-21
ISMO | I Don't Know Ish,00:01:00,1023826,42896,584,2023-08-18
ISMO | My Accent,00:00:46,1613108,53667,672,2023-08-17
ISMO | My Family Thanks You,00:01:29,327095,5056,115,2023-08-14
ISMO | Cookies,00:00:35,349049,12437,107,2023-08-11
ISMO | Brave Balls,00:01:13,162939,3318,62,2023-08-10
ISMO | I Don't Wear Ties,00:00:24,455546,15810,123,2023-08-09
ISMO | ENT Doctor,00:01:47,269211,4411,152,2023-08-04
ISMO | Too Fly to Drive,00:00:51,1101364,25286,185,2023-08-02
ISMO | 100%,00:00:58,1334326,41979,319,2023-07-31
ISMO | Day Off,00:01:02,171293,2804,72,2023-07-28
ISMO | Scary Proof,00:00:34,368868,13768,74,2023-07-26
ISMO | Modern Medicine Strikes Again,00:01:03,160858,2417,61,2023-07-24
ISMO | Local Pride,00:00:37,653818,21102,178,2023-07-21
ISMO | WTF USA,00:00:39,247767,8080,73,2023-07-19
ISMO | Drinking Water,00:00:21,281266,5261,29,2023-07-17
ISMO | Language,00:00:57,2180410,55678,606,2023-07-14
"So, what's up?",00:00:46,1148129,44855,631,2023-07-12
Dog Farts,00:00:50,184908,5087,67,2023-07-11
ISMO | When Chivalry Backfires,00:01:00,664040,24022,231,2023-03-28
ISMO | Batshit v Apeshit,00:00:50,492137,16402,189,2023-03-22
ISMO | Brothers,00:00:49,364114,9717,146,2023-01-19
ISMO | Dog Farts,00:00:50,268505,6296,78,2023-01-13
ISMO | The Word Ass,00:00:58,184460,5302,52,2023-01-06
ISMO | Counting Calories,00:01:00,2132135,41945,490,2022-12-29
ISMO | To Be Or Not To Be,00:00:58,5872907,170190,2580,2022-12-29
Who Do Vegans Always,00:00:44,1415117,48112,683,2022-12-28
ISMO | Literally,00:00:59,771329,24496,177,2022-08-19
ISMO | Fast Cars,00:00:52,685388,20098,138,2022-08-15
ISMO | Drink Water,00:00:21,162787,3134,13,2022-08-12
ISMO | I'm Down,00:00:25,699362,19906,142,2022-08-10
ISMO | Slots,00:00:51,216847,6252,68,2022-08-08
ISMO | Polite Heckle,00:00:39,649760,13181,161,2022-08-05
ISMO | Wooing Women,00:00:50,526052,15490,205,2022-08-03
ISMO | Back To Bed,00:00:58,114368,3258,14,2022-08-01
ISMO | The Gym,00:00:56,435214,9418,86,2022-07-29
ISMO | Cookies,00:00:35,151019,4622,38,2022-07-25
ISMO | Fake Finland,00:00:52,832129,29891,391,2022-07-22
ISMO | Small Talk,00:00:36,929424,30011,378,2022-07-19
ISMO | Scary Studio,00:00:31,400247,11379,54,2022-07-15
ISMO | Insomnia,00:01:02,171485,3052,57,2022-07-13
ISMO | Expired Water,00:00:26,136023,4358,51,2022-07-11
ISMO | Super Excited,00:00:44,663974,17642,84,2022-07-06
ISMO | Day Off,00:01:02,206826,3617,59,2022-07-05
ISMO | Real Gentleman,00:01:00,269274,9236,57,2022-07-01
ISMO | Big Mouth,00:00:50,452607,12507,76,2022-06-29
ISMO | Sleeping Around,00:07:13,2959669,37281,1099,2022-06-28
ISMO | Beauty Routine,00:00:20,263825,7731,71,2022-06-27
ISMO | American French,00:00:31,831369,23514,389,2022-06-22
ISMO | Dolphin World,00:00:47,308416,10990,118,2022-06-21
ISMO | Compliments,00:02:05,564473,8740,199,2022-06-06
ISMO | SIR,00:00:59,3166697,91743,811,2022-05-31
ISMO's Words | ONEDERFUL,00:02:35,375633,8350,454,2021-06-05
ISMO | Passiivinen Kansa,00:05:50,1009565,8159,365,2021-05-15
ISMO | Finnit,00:01:52,189507,1787,56,2021-05-15
ISMO | Vasemmalla kädellä,00:02:09,340386,2601,74,2021-05-15
ISMO | Taloustieteen perusteet,00:02:39,408213,3876,116,2021-04-22
ISMO | Posetiivari,00:02:30,196770,2000,45,2021-04-22
ISMO | Kun käyt yöllä kusella,00:01:51,315008,3087,90,2021-04-22
ISMO | Pharmaceutical Commercials,00:03:33,1703627,27635,691,2021-04-11
ISMO | Dueling Authors - Writing a book with my wife,00:01:08,22605,483,27,2021-04-02
"ISMO | Neljä kättä, yksi kirja",00:01:24,18702,389,27,2021-03-31
ISMO | Laihtuminen vs. Lihominen,00:02:09,313713,2514,68,2021-03-21
ISMO | Mistä vauvat tulee,00:01:51,179092,1540,34,2021-03-21
ISMO | Maksullinen WC,00:01:15,277593,2649,73,2021-03-21
"ISMO | KIRJA, pätkä #2: Mielipiteistä",00:05:10,26341,556,67,2021-03-12
"ISMO | KIRJA, pätkä #1: Kateudesta",00:05:10,48917,865,148,2021-03-11
ISMO | Man On The Moon,00:02:18,1412250,22358,576,2021-03-06
ISMO | The Best Thing About Sex,00:01:47,908671,14424,255,2021-02-24
ISMO | Oma nimi historian kirjoihin,00:05:53,547742,4182,195,2021-02-10
ISMO | Iso muna on turha,00:04:01,666108,5212,162,2021-02-10
ISMO | Aina nyt yhden voi ottaa,00:03:09,777815,6161,143,2021-02-10
ISMO | The Word ASS (new & extended version),00:08:06,3376938,60222,2293,2020-05-29
"ISMO | ""Corona Crappaper Revival"" (CCR Parody)",00:03:13,529888,7469,323,2020-05-09
ISMO | How to Make Toilet Paper (Life Hack),00:03:02,257221,4598,422,2020-04-17
ISMO | Hissipuhe,00:01:23,244640,1702,64,2020-04-03
ISMO | Lisää vain i,00:03:05,631134,4609,157,2020-04-03
ISMO | Ja nimi oli...,00:04:04,997356,6949,229,2020-04-03
"ISMO | Parisuhde, osa 2",00:09:36,1032837,6209,205,2020-04-03
ISMO | Bless You,00:02:08,844878,12023,297,2020-03-24
ISMO | Flying Through Time,00:03:16,1109817,19918,559,2020-02-19
ISMO | Throwback Thermometer,00:03:27,812778,12333,317,2020-01-29
ISMO | Taloyhtiö,00:03:23,1038974,8043,294,2019-11-07
ISMO | Mr. (UN)Clean,00:02:35,876253,15096,287,2019-10-26
ISMO | Burning Calories,00:04:14,1414775,21462,450,2019-08-15
ISMO | SUPER EXCITED,00:03:46,1500594,26327,798,2019-07-16
ISMO | She Sells Sea Shells,00:04:10,1042986,16728,552,2019-06-28
ISMO | Sharing the Bathroom,00:04:01,1789686,23487,447,2019-04-11
ISMO | To B or Not to B,00:01:44,913799,12589,328,2019-01-26
ISMO | Englantia suomalaisella suulla,00:02:59,876825,6168,171,2019-01-11
ISMO | Kampanja toimii Suomessakin,00:01:16,297894,1236,21,2019-01-11
ISMO | Pidä ittes miehenä,00:03:03,850166,5670,183,2019-01-11
ISMO | Tasa-Arvo-Henkilö,00:03:30,873228,5865,250,2019-01-11
ISMO | Bokserit,00:02:04,469091,3526,46,2019-01-11
ISMO | Tietokone on ystävä,00:04:01,928271,5793,222,2019-01-11
ISMO | Chivalry is Dead,00:03:41,906642,16929,378,2018-12-15
ISMO | My Trip to New Zealand (Comedy Gala TV Appearance),00:04:32,751255,9168,203,2018-11-17
ISMO | Parisuhde,00:10:20,3023778,13722,322,2018-11-03
ISMO | MOOTTORITIE ON KESKEN,00:04:51,497742,3879,107,2018-10-21
ISMO | Dog Farts,00:02:12,537111,6832,124,2018-10-09
ISMO | Rock ennen ja nyt,00:03:28,197788,1593,76,2018-10-03
ISMO | Superman?,00:02:26,429942,7929,122,2018-09-11
ISMO | The Silent Struggle (with English),00:01:45,589230,6916,196,2018-07-18
ISMO | Putte Possu ja Sadut,00:07:29,242466,1624,60,2018-07-12
ISMO | Paloittelusurma,00:04:06,347601,2463,119,2018-07-12
ISMO | Kaikkien biisien kertosäe - Emma-gaala,00:04:03,155645,1472,45,2018-07-12
ISMO | Kristinusko,00:03:23,243627,1623,75,2018-07-12
ISMO | Joku Keksi Persepanon,00:03:22,175530,1940,53,2018-07-12
ISMO | Pendolino,00:04:51,100791,955,23,2018-07-12
ISMO | Englanti On Kehitysmaa,00:02:57,251161,1980,54,2018-07-12
ISMO | Lukeminen,00:04:34,356940,2556,78,2018-07-12
ISMO | The EARTHworm,00:01:26,585075,11559,207,2018-05-09
ISMO | I ❤️ Vegans,00:02:19,1968453,34637,847,2018-04-05
ISMO | Interview on Finnish TV,00:03:12,139580,1405,34,2018-02-28
ISMO | I Didn't Know Sh*t 💩💩💩,00:03:55,4288019,76558,1773,2018-02-24
